startup_name,yfyi_batch,status,funding_usd,verticals,description,website,corporated,headquarter,founder_team,award,grant_amount_try,first_batch_year
Chain Grubu,2014,Out of Business,,,,,FALSE,,,TEB Büyük Ödülü + Depark ABD Kamp? Özel Ödülü,125000,2014
Grafentek,2014,Out of Business,,"Deeptech, Nanotechnology",R&D firm working on nano technology applications in energy field.,,FALSE,,,Savunma Sanayii Müste?arl??? Ödülü + Arçelik ABD Kamp? Özel Ödülü,125000,2014
B&G Tech,2014,Out of Business,,,,,FALSE,,,General Electric ABD Kamp? Özel Ödülü,25000,2014
ExoDiag,2014,Out of Business,,,,,FALSE,,,Teknopark İstanbul ABD Kamp? Özel Ödülü,25000,2014
Testlance,2014,Out of Business,,Crowdsourcing,Mobile crowdsource test & QA platform,,FALSE,,Mustafa Ekrem Kenter,Microsoft ABD Kamp? Özel Ödülü,25000,2014
AIV Labs,2014,Out of Business,,,,,FALSE,,,Aselsan ABD Kamp? Özel Ödülü,25000,2014
L?-F? Teknoloji,2014,Out of Business,,,,,FALSE,,,YEDA? ABD Kamp? Özel Ödülü,25000,2014
Onedio,2013,Exit,4550000,"Content, News",Social news and viral content portal,onedio.com,FALSE,ODTÜ TEKNOKENT,"Kaan Kayabal?, Türkü Oktay, Demirhan Büyüközcü",,,2013
Alictus,2013,Exit,,Gaming,Multiplatform game development,alictus.com,FALSE,,"Emre Ta?, Ecem Baran, Onur Dilek",,,2013
Prz Biyoteknoloji,2013,Out of Business,,Healthtech,Cancer diagnostic kit production,,FALSE,,,Elginkan Vakf? Büyük Ödülü,100000,2013
Z5 Team,2013,Out of Business,,Healthtech,Non-invasive Blood Glucose Measurement,,FALSE,,"An?l Kodal, Volkan Koçak",,,2013
Easy Guitar,2013,Out of Business,,Edtech,Interactive Chord Library For Guitar,,FALSE,,"Giray Songül, Mertcan Erdo?an, Yunus Terzio?lu",,,2013
Orion,2013,Out of Business,,"Military, Electronics",Magneto-Rheological Real Time Damper System,,FALSE,,Yusuf Dabako?lu,,,2013
Fi-Lips,2013,Out of Business,,Military,,,FALSE,,"Ümmügül Erözbek Güngör, Do?an Mansuro?lu",,,2013
Fonksiyonel Yüzeyler,2013,Out of Business,,Military,,,FALSE,,Mert Mehmet Oymak,,,2013
Lazersan Elektronik,2013,Out of Business,,Military,,,FALSE,,"Mert Bayraktar, Tevfik A?ar",,,2013
Biyomekanik,2013,Out of Business,,Healthtech,Online patient-based cardiovascular system modeling,,FALSE,,?enol Pi?kin,,,2013
Ye?il Dalga,2013,Out of Business,,,,,FALSE,,"Mete Erzincanl?, Batuhan Ta?döven, Kübra Özen Seyman",,,2013
Deeblab - Turtela,2013,Active,,"Wearable, Healthtech","Developing smart, technological and innovative solutions",turtela.com,FALSE,Teknopark İzmir (İYTE),Harun Bavuno?lu,Çal?k Yeda? Özel Ödülü,25000,2013
Grid Intelligence - Reengen - Faradai,2013,Active,,"Energy, Sustainability, SaaS, Artificial intelligence",Energy and sustainability intelligence solution for enterprises,faradai.ai,FALSE,İstanbul,"?ahin Ça?layan, Ahmet Necdet Alpmen, Ali Geren, Burak Sefer, Do?an Poyraz, Utku Simitli",,,2013
BeeVision,2013,Active,,"Logistics, Image process",Low cost dimensioner for cargo boxes,beevision.ai,FALSE,ODTÜ TEKNOKENT,Ça?lar Alt?ner,,,2013
TIM Ekibi - Arı Gözü Projesi,2012,Out of Business,,,,,FALSE,,"Onur Ard?ç, Ça?lar Alt?ner","Savunma Sanayii Müste?arl??? Ödülü, DenizBank Özel Ödülü, Aselsan Özel Ödülü",125000,2012
Dentofast,2012,Out of Business,,Healthtech,,,FALSE,,,Elginkan Vakf? Büyük Ödülü,100000,2012
Javatar,2012,Out of Business,,,,,FALSE,,,Türk Telekom Büyük Ödülü,75000,2012
PragmaCraft,2012,Out of Business,,,,,FALSE,,,"Intel Özel Ödülü, Türk Telekom ?kincilik Ödülü",35000,2012
OE,2012,Out of Business,,,,,FALSE,,,Ostim Özel Ödülü,25000,2012
Alg? Ekibi,2012,Out of Business,,Military,Software-based underwater acoustic military communication system,,FALSE,,,Savunma Sanayii Müste?arl??? ?kincilik Ödülü,10000,2012
Gelecek Robotik,2012,Out of Business,,"Deeptech, Robotics","Robotic solutions and production services like robotic arms, hand.",gelecekrobotik.com.tr,FALSE,,,,,2012
GDS,2012,Out of Business,,"Military, Healthtech",The production of robotic orthesis systems for paraparetics and paraplegics,gdsmuhendislik.com.tr,FALSE,,,,,2012
Büyütech,2012,Active,7149295,"Image process, Autotech, Electronics",Image processing technologies,buyutech.com.tr,FALSE,ODTÜ TEKNOKENT,"Alparslan I??kl?, Ömer Orkun Düzta?",,,2012
Kaleidoscope Ekibi - Kapileroskop Projesi,2011,Out of Business,,,,,FALSE,,,"Elginkan Vakf? Teknoloji Ödülü, Türk Telekom Büyük Ödülü",125000,2011
Powersems Ekibi,2011,Out of Business,,,,,FALSE,,,"Bili?im ve Telekominikasyon Kategorisi ?kincilik Ödülü, Intel Özel Ödülü",25000,2011
Nanosis Ekibi - Mobial Projesi,2011,Out of Business,,,,,FALSE,,,Savunma Kategorisi ?kincilik Ödülü,10000,2011
Heavy Science Ekibi - YEF Projesi,2011,Out of Business,,,,,FALSE,,,Savunma Sanayii Büyük Ödülü,,2011
Indifide,2011,Out of Business,,"Biotech, Deeptech",Biotech company,,FALSE,,"Bahtiyar Y?lmaz, Kamil Hanayl?, Ali ?ncemehmeto?lu",,,2011
Ultravision Ekibi - Ultralight Projesi,2011,Out of Business,,,,,FALSE,,,,,2011
Kuartis - KuartisMed,2011,Active,1800000,"Deeptech, AR / VR, Artificial intelligence, Healthtech","Audio and video processing, speech recognition and machine learning solutions - Mobile application that allows you to plan and follow up the vaccinations of your children.",kuartis.com,FALSE,ODTÜ TEKNOKENT,Ahmet Saraço?lu,,,2011
Esetron,2011,Active,,"Smart city, Mechatronics, Internet of things, Industry40","Smart robo-technologies, producer of ParkTR",esetron.com.tr,FALSE,Teknopark Ankara,"Ataman Özdemir, ?shak Elmas, Serkan Tarç?n, Kemal Ar?, Koray Koç, Alper Güngör",Ostim Özel Ödülü,25000,2011
KURUP Grubu - Kirschner Operasyonu Otomasyonu Projesi - Akustik Hedef Tespiti ve Takibi,2010,Out of Business,,Deeptech,Device That Can Control Computers With Brain Waves,,FALSE,,,"Elginkan Vakf? Teknoloji Ödülü, Savunma Sanayii Müste?arl??? Ödülü",125000,2010
Ensate Yalitim,2010,Out of Business,,,Producing energy efficiency and renewable energy products,ensate.com.tr,FALSE,,,,,2010
Hormonetech ekibi - Zealous Projesi,2010,Out of Business,,,,,FALSE,,,Türk Telekom Özel Ödülü,50000,2010
Bilkentliller ekibi - Yerel Konumlandırma Sistemi projesi,2010,Out of Business,,,,,FALSE,,,Savunma kategorisinde ikincilik ödülü,10000,2010
Midas ekibi - Konum Tabanlı Reklamcılık projesi,2010,Out of Business,,,,,FALSE,,,Telekomünikasyon ve bili?im kategorisinde ikincilik ödülü,,2010
Diffuse Ekibi - Hızlı Aerojel Üretme projesi,2010,Out of Business,,,,,FALSE,,,OSTİM Sanayi Kategorisi özel ödülü,25000,2010
ISSD,2010,Active,,"Smart city, Agency",Intelligent traffic management systems,issd.com.tr,TRUE,ODTÜ TEKNOKENT,R. Ça?r? Yüzba??o?lu,,,2010
Garajsoft,2009,Out of Business,,,,,FALSE,,,Elginkan Vakf? Teknoloji Ödülü,75000,2009
Gradient,2009,Out of Business,,,,,FALSE,,,"OSTİM Ödülü, Savunma Sanayi Ödülü",30000,2009
Oratel,2009,Out of Business,,,,,FALSE,,,Savunma Sanayi Ödülü,,2009
Megomuez,2009,Out of Business,,,,,FALSE,,,,,2009
GPS-Kar??t?r?c?,2009,Out of Business,,,,,FALSE,,,Savunma Sanayi Ödülü,20000,2009
Ku?u ?HA,2009,Out of Business,,,,,FALSE,,,Savunma Sanayi Ödülü,30000,2009
MinDput - Beyin Bilgisayar Arayüz (BBA) Aletleri Kullan?larak İletişim - Minder,2009,Out of Business,,,,minder.com.tr,FALSE,,,,,2009
B?YONES?L Grubu,2008,Out of Business,,Military,Bionic Mine Detection System,,FALSE,,,"Elginkan Vakf? Teknoloji Ödülü, Savunma Sanayii Müste?arl??? Ödülü",125000,2008
Cepkod,2008,Out of Business,,,,,FALSE,,,,,2008
Kamarosa,2008,Out of Business,,,,,FALSE,,,,,2008
Terahertz,2008,Out of Business,,,,,FALSE,,,,,2008
JEOTİM Grubu - Petçed Projesi,2007,Out of Business,,,,,FALSE,,"Asl? ?lbay, Mehmet Erdem Hamamc?",Birincilik Ödülü (Kurulu? sermayesi),50000,2007
Haydiantalya Grubu - Sestarar Projesi,2007,Out of Business,,,,,FALSE,,,,,2007
RNArt Solutions Grubu - ABT Projesi,2007,Out of Business,,,,,FALSE,,,Jüri Özel ödülü,10000,2007
PALMAX Grubu - Oyna ve Öğren Projesi - Rotasoft,2006,Out of Business,,"AR / VR, Visual","Software company working on augmented reality (AR), real time image processing and 3D computer graphics",rotasoft.com.tr,FALSE,,Furkan Kuru,"Kurulu? Sermayesi, ODTÜ Teknokent Ofis Kullan?m? (Ücretsiz - 3 Y?l)",50000,2006
ANKA Grubu - Presentation Tool Projesi,2006,Out of Business,,,,,FALSE,,,,,2006
Köprü Grubu - Hayatı Yeniden Okumak Projesi,2006,Out of Business,,,,,FALSE,,,Jüri Özel Ödülü,10000,2006
RİMS Grubu - Dual Sim Kart Cep Telefonu,2006,Out of Business,,,,,FALSE,,,,,2006
VLMedia,2006,Active,,"Dating, Social network","Social network projects: Waplog, Waplog Match, Date Me and Masq",vlmedia.com,TRUE,ODTÜ TEKNOKENT,Furkan Kuru,,,2006
V-Count,2005,Active,4596987,"Retailtech, Image process",Video monitoring & people counting platform for retailers,v-count.com,TRUE,ODTÜ TEKNOKENT,"Kaan Kayabal?, Demirhan Büyüközcü",,,2005
Mobilus - Invidyo,2005,Active,2930000,"Baby toddler, Smart home, Internet of things",Standalone connected camera,invidyo.com,TRUE,ODTÜ TEKNOKENT,"Özgür Deniz Önür, Ya??z Ya?aro?lu, Ekin Dino",,,2005
