startup_name,yfyi_batch,status,funding_usd,verticals,description,website,corporated,headquarter,founder_team,award,grant_amount_try,first_batch_year
solarVis,2020,Active,100000,"Climatetech, Energy, SaaS",Provides software and field services to the energy industry,solarvis.co,FALSE,ODTÜ TEKNOKENT,"Samet Y?ld?r?m, Enes Berk Karahançer",,,2020
Breathall,2020,Out of Business,,Healthtech,Develops smart chest physiotherapy solutions for infants,breathall.com,FALSE,,"Selami Erdo?an, Alper Bu?ra Eren",,,2020
Vivente,2020,Out of Business,,"Healthtech, Artificial intelligence",AI solutions for healthcare,viventesoft.com,FALSE,,Elif Kübra Çontar,Elginkan Vakf? Büyük Ödülü,100000,2020
Hetes,2020,Out of Business,,"Textile, Logistics",E-commerce logistics service,hetes.co,FALSE,,Güliz Ayd?n,,,2020
WeeKiddo,2020,Out of Business,,"Sustainability, Edtech, Baby toddler",Online learning app for preschool children,weekiddo.com,FALSE,,"?evval Koç, Tu?rul Hasan Furkan Abay",,,2020
Noticy,2020,Out of Business,,"Smart home, Internet of things","Smart home appliances that save water, energy",noticy.net,FALSE,,"Umut Türemen, Engin A??klar, Emre Ba?",,,2020
Optio,2020,Out of Business,,"Constructiontech, SaaS",AI-based housing design,optiostudio.com,FALSE,,Ufuk Baydilek,,,2020
Bionova,2020,Out of Business,,"Biotech, Climatetech, Sustainability",Biotechnological solutions to industrial food waste,bionovatech.co,FALSE,,Ay?e Sultan Kurt,,,2020
HED,2020,Out of Business,,,,,FALSE,,,,,2020
Yolla,2020,Out of Business,,,,,FALSE,,,,,2020
Castera,2020,Out of Business,,,,,FALSE,,,,,2020
favor,2020,Out of Business,,"Climatetech, Restaurant, Sustainability","Marketplace application, where consumers can reach to consumable goods with lower prices to prevent those goods from going to waste",favortr.com,FALSE,,Tunç Karabayer,,,2020
Case Future,2020,Active,,Edtech,Upskilling platform that links e-learning with career,casefuture.com,FALSE,Londra,,,,2020
HiFace,2020,Active,,"AR / VR, Beauty & cosmetics, Artificial intelligence",Allows try with makeup and accessories live with AR,hiface.ee,FALSE,Tallin,Hüseyin Tamer,,,2020
iyiMakina,2020,Active,,"Ecommerce, Marketplace",Auction based online marketplace for used heavy equipment and trucks,iyimakina.com,FALSE,İTÜ Teknokent,Sinan Zabuno?lu,,,2020
Occulera,2020,Active,,"AR / VR, Healthtech, SaaS",Eye health services with virtual reality technology,oculera.health,FALSE,OSTİM Teknopark,"Ka?an Özaslan, Mert Kele?, Hande Güleç, Mehtap Abay",Elginkan Vakf? Uluslararas?la?ma Ödülü,,2020
Porion,2020,Active,,Biotech,Biotech solutions,poriontech.com,FALSE,Ankara,"Burcu Tamkoç, Berfu Safranbolulu",,,2020
Tvoystol,2020,Out of Business,,,Restaurant reservation platform,tvoystol.com,FALSE,,"Ahmet Altunta?, Umut Semen",,,2020
Tuvis,2019,Exit,,"Smart manufacturing, Industry40, Artificial intelligence",Artificial intelligence based visiual inspection system for industrial processes,tuvisai.com,FALSE,,"Bahad?r Gölcük, Batuhan ?ahin, Eyüp Görkem Bayram",,,2019
Safellence,2019,Out of Business,,"Healthtech, Artificial intelligence",AI based digital safety platform,safellence.de,FALSE,,,,,2019
Powder Tech - Ultimate Powders,2019,Out of Business,,"Deeptech, Advanced materials",Boron carbide production,powdertechturkey.wixsite.compowdertech,FALSE,,Berkay Büyüklüo?lu,Ostim Ödülü,20000,2019
Lonca,2019,Out of Business,,Retailtech,Location based AR solutions for retailtech,lonca.gitlab.io,FALSE,,,,,2019
Fado,2019,Out of Business,,Advertising,Platform where users earn discounts by watching videos,fadozoneco.wixsite.comfado,FALSE,,"Mert Gökçüo?lu, Mahmut Can Tuncer, Berkem Peker, Ay?egül Yavuz, Zeynep Ergeneci",,,2019
AeroES,2019,Out of Business,,"Climatetech, Energy",Wind tunnel producer,aeroesmetu.wixsite.comaeroes,FALSE,,,,,2019
Inspecthink,2019,Out of Business,,Image process,Visual quality control processes,inspecthink.com,FALSE,,Umut Öztürk,,,2019
NeoPoliclinic,2019,Out of Business,,Healthtech,Polyclinic referral tool based on patient symptoms,neopoliclinic.com,FALSE,,"Osman Da?, Metin Ye?iltepe",,,2019
Hetra,2019,Out of Business,,Productivity,User experience and space management tool to support productivity,hetraturkey.com,FALSE,,Ahmed Akyol,,,2019
Renty,2019,Out of Business,,Sharing economy,Product rental platform for university students,rentyapp.co,FALSE,,Sefa Biber,,,2019
Wobeya,2019,Out of Business,,"Marketplace, Hrtech, Artificial intelligence",ML powered consultancy services with freelancers,wobeya.com,FALSE,,"Adnan Durmu?o?lu, Ya??z Çuhadar",,,2019
TradeMate,2019,Out of Business,,,,,FALSE,,,,,2019
Tiroit,2019,Out of Business,,,,,FALSE,,,,,2019
SRT,2019,Out of Business,,,,,FALSE,,,,,2019
Akıllı Fon - Robo Advisor - Magnus,2019,Active,502000,"Artificial intelligence, Fintech",AI based portfolio optimization and robo advisory platform,getmagnus.com,FALSE,Ege Teknopark,"Ercan Gümü?, Esra Ula?an, Özlem Önder",,,2019
Bakiyem,2019,Active,219595,Fintech,Online payment system,bakiyem.com,FALSE,Gazi Teknopark,"Umut Yalç?n, Tolga Yalç?n",,,2019
CY Enerji,2019,Active,,"Climatetech, Energy",Roof-mounted solar tracking system,cyenerji.com,FALSE,-,Cantürk Y?lmaz,EPDK & ELDER Ödülü,25000,2019
Volte,2019,Active,,"Climatetech, Mobility, Autotech",Application for accessing car charging stations for electric vehicle users,volt-e.com,FALSE,Ankara,"Mert Turgay, Muratcan Igdeli",,,2019
EarFit,2019,Active,,Healthtech,Produces ear molds for hearing aids,earfit.com.tr,FALSE,ODTÜ TEKNOKENT,Kubilay Akta?,Elginkan Vakf? Teknoloji Büyük Ödülü,50000,2019
Persona,2019,Active,,Hrtech,Psychology-based software that supports HR and management processes,personacode.com,FALSE,Ankara,"Meliha Ak?n, ?rem Kaya",,,2019
Qubitro,2019,Active,,"Internet of things, SaaS",Cloud platform for IoT projects,qubitro.com,FALSE,Delaware,Beray Bentesen,,,2019
Test Robotic,2019,Active,,SaaS,Scalable and cloud-based test automation platform,testrobotic.com,FALSE,-,,,,2019
Enio,2019,Active,,"Deeptech, Agritech, Artificial intelligence",ML based chemical free plant protection system,en-io.com,FALSE,Ege Teknopark,"Onur Yalç?n, Tunjar Asgarli",,,2019
Alp Imaging,2019,Active,,Healthtech,Medical imaging systems,alpimaging.com,FALSE,Ankara,Alp Erdem Yavuz,,,2019
Geodo,2019,Active,,"Location, Military",Easy reporting and marking handheld terminal for location based tasks,geodo.tech,FALSE,ODTÜ TEKNOKENT,"Eniscan Bubik, Efe Kart",,,2019
Algodocs,2019,Active,,"Artificial intelligence, SaaS",AI-Powered document data extraction software,algodocs.com,FALSE,İzmir,,,,2019
UlakFin,2019,Out of Business,,"Agency, Fintech",Smart financial data & technology services,ulakfin.com,FALSE,,"O?uzhan Mailmail, Bar?? Nas?r",,,2019
Prosoft VR,2019,Active,,"AR / VR, Textile",Design and develop progressive VR & AR projects,prosoftvr.com,FALSE,Gebze Bili?im Vadisi,Selçuk ?ireci,,,2019
Pinterrail,2019,Active,,"Content, Travel",Collaborative platform aiming to gather people to share their travelling experiences,pinterrail.com,FALSE,-,Burak Gündüz,,,2019
Warden Legal,2018,Out of Business,25000,"Legaltech, Artificial intelligence",AI based legal assistant,wardentech.co,FALSE,,"Onat Topal, Ça??n Polat",Growth Circuit’tan Yat?r?m Alan Giri?imler,,2018
Lifecare,2018,Out of Business,,Healthtech,Body analyzer,lifecare.fit,FALSE,,Aytu? Berk Sezer,,,2018
Ruwell,2018,Out of Business,,Healthtech,Personal smart security device,ruwell.co,FALSE,,Utku Akman,"VennDesign Özel Ödülü, Onedio Özel Ödülü",50000,2018
Qwerty,2018,Out of Business,,Agency,Design and information technology services,groupqwerty.com,FALSE,,Bü?ra Özcan,Btech Özel Ödülü,,2018
Happy Meal,2018,Out of Business,,Healthtech,Product that allows people to control their weight using their own brainwaves,control-w.com,FALSE,,,,,2018
DORA,2018,Out of Business,,Military,Smart mine marking solutions,groupdora.com,FALSE,,Betül Akta?,Savunma Sanayii Ba?kanl??? Ödülü,25000,2018
Coolin,2018,Out of Business,,Healthtech,"Smart, portable cooler",coolin.io,FALSE,,"Koray Hisarl?, Yavuz Paksoy",,,2018
HERA,2018,Out of Business,,"AR / VR, Hrtech",Personality analysis and talent management platform via VR,doorsthegame.co,FALSE,,Simge Toksöz,TÜPRA? Ödülü,25000,2018
